[1/33] ---- Running throughput benchmarks (higher is better) ----
          boost::lockfree::queue,14,s:     942,003 msg/sec
          boost::lockfree::queue, 1,i:   3,321,013 msg/sec
          boost::lockfree::queue, 2,i:   2,772,476 msg/sec
          boost::lockfree::queue, 3,i:   2,502,535 msg/sec
          boost::lockfree::queue, 4,i:   2,331,627 msg/sec
          boost::lockfree::queue, 5,i:   2,231,153 msg/sec
          boost::lockfree::queue, 6,i:   2,077,155 msg/sec
          boost::lockfree::queue, 7,i:   1,918,966 msg/sec
          boost::lockfree::queue, 8,i:   1,588,390 msg/sec
          boost::lockfree::queue, 9,i:   1,266,254 msg/sec
          boost::lockfree::queue,10,i:   1,296,245 msg/sec
          boost::lockfree::queue,11,i:   1,116,194 msg/sec
          boost::lockfree::queue,12,i:   1,063,312 msg/sec
          boost::lockfree::queue,13,i:     997,813 msg/sec
          boost::lockfree::queue,14,i:     944,934 msg/sec
                pthread_spinlock, 1,s:  10,053,234 msg/sec
                pthread_spinlock, 2,s:   5,175,164 msg/sec
                pthread_spinlock, 3,s:   4,105,227 msg/sec
                pthread_spinlock, 4,s:   3,436,471 msg/sec
                pthread_spinlock, 5,s:   2,918,438 msg/sec
                pthread_spinlock, 6,s:   2,580,929 msg/sec
                pthread_spinlock, 7,s:   2,265,447 msg/sec
                pthread_spinlock, 8,s:   1,293,630 msg/sec
                pthread_spinlock, 9,s:   1,170,030 msg/sec
                pthread_spinlock,10,s:   1,104,937 msg/sec
                pthread_spinlock,11,s:   1,068,720 msg/sec
